municipio,riqueza_palmas,bosque_pct,agro_pct,alertas_2017,alertas_2018,alertas_2019,alertas_2020,alertas_2021,alertas_2022,alertas_2023,alertas_2024,alertas_2025,alertas_total,pred_alertas_2026
Santa Rosa de Cabal,4,57.97,15.94,0,0,0,0,1,0,0,0,0,1,0.41222222222222216
Pajarito,2,50.0,50.0,0,0,0,0,0,0,0,0,3,3,0.3714444444444444
Yopal,2,60.87,39.13,4,0,0,0,1,0,0,3,2,10,0.3463333333333333
Jamundí,1,0.0,100.0,0,1,0,0,0,0,4,5,0,10,0.3433333333333333
Andes,2,50.0,50.0,0,0,0,0,0,0,3,0,0,3,0.34
Pesca,1,0.0,100.0,0,0,0,0,0,0,0,0,1,1,0.2887222222222223
Pivijay,1,33.33,66.67,0,0,0,0,0,0,0,8,0,8,0.2733333333333333
Duitama,1,100.0,0.0,0,0,0,0,0,0,0,6,0,6,0.27166666666666667
Chima,1,0.0,100.0,0,0,0,0,0,0,0,2,1,3,0.26088888888888895
San Agustín,3,100.0,0.0,1,0,0,1,0,0,0,0,0,2,0.23569047619047617
Saboyá,1,0.0,100.0,0,0,1,0,0,0,0,0,0,1,0.19333333333333333
Jericó,2,0.0,100.0,0,0,0,0,0,1,2,0,0,3,0.18333333333333332
Guasca,2,100.0,0.0,0,0,0,0,0,0,0,0,0,0,0.17200000000000004
Venecia,2,0.0,100.0,0,0,0,0,0,0,1,7,0,8,0.17
Maní,1,0.0,0.0,3,0,0,0,0,0,0,4,6,13,0.16761904761904758
Caparrapí,1,50.0,50.0,0,0,0,0,1,0,0,3,0,4,0.1511111111111111
Villanueva,3,54.55,45.45,1,0,0,0,0,0,1,5,0,7,0.12666666666666668
Providencia y Santa Catalina,1,86.96,8.7,0,0,0,0,0,0,0,0,0,0,0.10820634920634921
Pedraza,1,0.0,0.0,0,0,0,0,0,0,4,0,0,4,0.10333333333333333
Palestina,2,0.0,50.0,0,0,0,0,0,1,0,0,0,1,0.09333333333333334
Chaguaní,3,100.0,0.0,0,0,0,0,0,0,0,0,0,0,0.08354761904761905
Amagá,1,0.0,100.0,0,0,0,1,0,0,2,0,0,3,0.08333333333333333
Granada,3,0.0,80.0,0,0,0,0,0,0,1,4,0,5,0.08
Cali,7,39.87,37.97,2,0,0,0,0,0,1,0,0,3,0.07666666666666666
Bello,4,35.29,47.06,1,0,0,0,0,0,1,0,0,2,0.07666666666666666
Cocorná,2,27.27,72.73,0,0,0,0,0,0,1,0,0,1,0.06666666666666667
El Dovio,1,0.0,0.0,0,0,0,1,0,0,1,0,0,2,0.06
San Andrés,1,0.0,100.0,0,0,0,0,0,1,1,1,0,3,0.056666666666666664
Bucaramanga,5,16.67,50.0,0,1,0,0,0,0,0,2,0,3,0.056666666666666664
Isnos,2,100.0,0.0,0,0,0,0,0,0,0,1,0,1,0.0515
Junín,2,90.0,0.0,4,0,0,0,0,0,0,0,0,4,0.0455
Carepa,2,0.0,95.65,0,1,0,0,0,0,1,1,0,3,0.03666666666666667
Villamaría,1,40.0,60.0,0,0,0,0,0,0,0,2,0,2,0.03
San Juanito,3,86.49,13.51,0,0,0,0,0,0,0,0,0,0,0.029333333333333336
Hato,2,100.0,0.0,2,0,0,0,0,0,0,2,0,4,0.028333333333333332
Turbana,2,0.0,100.0,0,0,0,0,0,0,1,1,0,2,0.023333333333333334
Guadalupe,1,0.0,100.0,0,0,0,0,0,0,0,2,0,2,0.016666666666666666
Montería,1,0.0,100.0,0,0,0,0,0,0,0,2,0,2,0.016666666666666666
Ayapel,1,0.0,100.0,0,0,0,0,0,1,0,0,0,1,0.016666666666666666
Jardín,3,77.78,22.22,0,0,0,0,0,0,0,0,0,0,0.016666666666666666
Yotoco,1,0.0,0.0,0,0,0,0,0,0,1,0,0,1,0.006666666666666667
Yarumal,3,0.0,100.0,0,0,0,0,0,0,1,0,0,1,0.006666666666666667
La Estrella,1,0.0,100.0,0,0,0,0,0,0,1,0,0,1,0.0033333333333333335
La Ceja,1,0.0,100.0,1,0,0,0,0,0,1,0,0,2,0.0033333333333333335
Santuario,1,0.0,100.0,0,0,0,0,0,0,1,0,0,1,0.0033333333333333335
San Vicente,3,25.0,75.0,1,0,0,0,0,0,0,0,0,1,0.0
Momil,1,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0.0
Juradó - Costa,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
La Victoria,1,50.0,50.0,0,0,0,0,0,0,0,0,0,0,0.0
Circasia,3,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0.0
San Antonio del Tequendama,3,50.0,50.0,0,0,0,0,0,0,0,0,0,0,0.0
Belmira,3,38.46,0.0,1,0,0,0,0,0,0,0,0,1,0.0
Guaduas,3,25.0,75.0,1,0,0,0,0,0,0,0,0,1,0.0
Murillo,1,0.0,100.0,5,0,0,0,0,0,0,0,0,5,0.0
Filandia,2,27.27,36.36,0,0,0,0,0,0,0,0,0,0,0.0
Guatapé,2,0.0,50.0,0,0,0,0,0,0,0,0,0,0,0.0
Tolú,2,33.33,66.67,0,0,0,0,0,0,0,0,0,0,0.0
Pueblo Nuevo,2,25.0,75.0,0,0,0,0,0,0,0,0,0,0,0.0
Tena,2,50.0,50.0,0,0,0,0,0,0,0,0,0,0,0.0
Madrid,1,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0.0
Los Córdobas,1,50.0,50.0,0,0,0,0,0,0,0,0,0,0,0.0
Moniquirá,1,0.0,100.0,1,0,0,0,0,0,0,0,0,1,0.0
Marinilla,2,50.0,50.0,0,0,0,0,0,0,0,0,0,0,0.0
La Plata,2,40.0,60.0,4,0,0,0,0,0,0,0,0,4,0.0
Garzón,2,66.67,33.33,0,0,0,0,0,0,0,0,0,0,0.0
Garagoa,2,40.0,40.0,0,0,0,0,0,0,0,0,0,0,0.0
Génova,2,25.0,75.0,0,0,0,0,0,0,0,0,0,0,0.0
Tota,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
Tocaima,1,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0.0
Pereira,4,53.66,14.63,2,0,0,0,0,0,0,0,0,2,0.0
Tarqui,1,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0.0
Barbosa,1,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0.0
Támesis,4,50.0,50.0,0,0,0,0,0,0,0,0,0,0,0.0
Turbaco,4,0.0,58.33,0,0,0,0,0,0,0,0,0,0,0.0
Ulloa,1,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0.0
Vergara,1,0.0,100.0,1,0,0,0,0,0,0,0,0,1,0.0
Belalcazar,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
Manizales,6,47.37,36.84,0,0,0,0,0,0,0,0,0,0,0.0
Salento,5,39.82,52.21,1,0,0,0,0,0,0,0,0,1,0.0
Buga,1,50.0,41.67,0,0,0,0,0,0,0,0,0,0,0.0
Tenjo,1,0.0,100.0,1,0,0,0,0,0,0,0,0,1,0.0
La Tebaida,1,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0.0
Viterbo,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
Angostura,1,0.0,100.0,3,0,0,0,0,0,0,0,0,3,0.0
Andalucía,1,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0.0
Aranzazu,1,50.0,50.0,0,0,0,0,0,0,0,0,0,0,0.0
Aratoca,1,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0.0
Vijes,1,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0.0
La Calera,2,71.43,14.29,0,0,0,0,0,0,0,0,0,0,0.0
Gamarra,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
Pacho,2,33.33,66.67,2,0,0,0,0,0,0,0,0,2,0.0
Montenegro,2,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0.0
Villa de Leiva,2,0.0,80.0,0,0,0,0,0,0,0,0,0,0,0.0
Villavicencio,2,50.0,50.0,9,0,0,0,0,0,0,0,0,9,0.0
Pasca,1,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0.0
