LEVEL_3,alertas_2017,alertas_2018,alertas_2019,alertas_2020,alertas_2021,alertas_2022,alertas_2023,alertas_2024,alertas_2025,alertas_total
Amagá,0,0,0,1,0,0,2,0,0,3
Cali,2,0,0,0,0,0,1,0,0,3
San Pedro de Urabá,0,0,1,2,0,0,0,0,0,3
Confines,1,0,0,0,0,1,1,0,0,3
Campamento,0,0,0,0,2,1,0,0,0,3
San Carlos de Guaroa,2,0,0,0,0,0,0,0,1,3
Alejandría,0,0,0,0,0,0,0,0,2,2
Liborina,1,0,0,0,0,1,0,0,0,2
Jordán,0,0,0,0,2,0,0,0,0,2
Carmen de Apicalá,2,0,0,0,0,0,0,0,0,2
Sincelejo,0,0,0,2,0,0,0,0,0,2
Santana,0,0,0,0,1,1,0,0,0,2
Concordia,0,0,0,0,0,1,1,0,0,2
Arboletes,0,0,2,0,0,0,0,0,0,2
Armero,1,0,0,0,0,0,0,0,1,2
San Sebastián de Buenavista,0,0,2,0,0,0,0,0,0,2
Betania,0,0,0,0,0,0,2,0,0,2
Sandoná,2,0,0,0,0,0,0,0,0,2
Guayatá,2,0,0,0,0,0,0,0,0,2
San Zenón,0,0,2,0,0,0,0,0,0,2
Molagavita,1,0,0,0,0,0,0,1,0,2
Montería,0,0,0,0,0,0,0,2,0,2
Campohermoso,0,0,0,1,0,0,0,0,1,2
San Agustín,1,0,0,1,0,0,0,0,0,2
Anolaima,2,0,0,0,0,0,0,0,0,2
Chitaraque,0,0,0,0,2,0,0,0,0,2
La Ceja,1,0,0,0,0,0,1,0,0,2
La Cruz,0,0,0,0,0,2,0,0,0,2
Suesca,2,0,0,0,0,0,0,0,0,2
